CMDLINE /anaconda3/bin/python fit_gensim_lda.py
MEM 89.308594 1521750532.5406
MEM 89.308594 1521750532.6411
MEM 89.308594 1521750532.7415
MEM 89.308594 1521750532.8426
MEM 89.308594 1521750532.9443
MEM 89.308594 1521750533.0449
MEM 89.308594 1521750533.1468
MEM 89.308594 1521750533.2481
MEM 89.308594 1521750533.3494
MEM 89.308594 1521750533.4498
MEM 89.308594 1521750533.5501
MEM 89.308594 1521750533.6522
MEM 89.308594 1521750533.7570
MEM 89.308594 1521750533.8579
MEM 89.308594 1521750533.9588
MEM 89.308594 1521750534.0618
MEM 89.308594 1521750534.1642
MEM 89.308594 1521750534.2662
MEM 89.308594 1521750534.3664
MEM 89.308594 1521750534.4669
MEM 89.308594 1521750534.5698
MEM 89.308594 1521750534.6740
MEM 89.308594 1521750534.7746
MEM 89.308594 1521750534.8768
MEM 89.308594 1521750534.9823
MEM 89.308594 1521750535.0827
MEM 89.308594 1521750535.1871
MEM 89.308594 1521750535.2905
MEM 89.308594 1521750535.3913
MEM 89.308594 1521750535.4917
MEM 89.308594 1521750535.5971
MEM 89.308594 1521750535.7016
MEM 89.308594 1521750535.8022
MEM 89.308594 1521750535.9031
MEM 89.308594 1521750536.0044
MEM 89.308594 1521750536.1056
MEM 89.308594 1521750536.2071
MEM 89.308594 1521750536.3081
MEM 89.308594 1521750536.4093
MEM 89.308594 1521750536.5098
MEM 89.308594 1521750536.6146
MEM 89.308594 1521750536.7165
MEM 89.308594 1521750536.8190
MEM 89.308594 1521750536.9222
MEM 89.308594 1521750537.0228
MEM 89.308594 1521750537.1233
MEM 89.308594 1521750537.2256
MEM 89.308594 1521750537.3304
MEM 89.308594 1521750537.4358
MEM 89.308594 1521750537.5367
MEM 89.308594 1521750537.6405
MEM 89.308594 1521750537.7412
MEM 89.308594 1521750537.8415
MEM 89.308594 1521750537.9433
MEM 89.308594 1521750538.0460
MEM 89.308594 1521750538.1496
MEM 89.308594 1521750538.2503
MEM 89.308594 1521750538.3528
MEM 89.308594 1521750538.4570
MEM 89.308594 1521750538.5600
MEM 89.308594 1521750538.6614
MEM 89.308594 1521750538.7623
MEM 89.308594 1521750538.8638
MEM 89.308594 1521750538.9650
MEM 89.308594 1521750539.0662
MEM 89.308594 1521750539.1666
MEM 89.308594 1521750539.2683
MEM 89.308594 1521750539.3697
MEM 89.308594 1521750539.4713
MEM 89.308594 1521750539.5729
MEM 89.308594 1521750539.6737
MEM 89.308594 1521750539.7748
MEM 89.308594 1521750539.8757
MEM 89.308594 1521750539.9775
MEM 89.308594 1521750540.0793
MEM 89.308594 1521750540.1805
MEM 89.308594 1521750540.2820
MEM 89.308594 1521750540.3833
MEM 89.308594 1521750540.4875
MEM 89.308594 1521750540.5879
MEM 89.308594 1521750540.6901
MEM 89.308594 1521750540.7913
MEM 89.308594 1521750540.8917
MEM 89.308594 1521750540.9968
MEM 89.308594 1521750541.0986
MEM 89.308594 1521750541.2042
MEM 89.308594 1521750541.3048
MEM 89.308594 1521750541.4055
MEM 89.308594 1521750541.5110
MEM 89.308594 1521750541.6133
MEM 89.308594 1521750541.7188
MEM 89.308594 1521750541.8218
MEM 89.308594 1521750541.9221
MEM 89.308594 1521750542.0246
MEM 89.308594 1521750542.1250
MEM 89.308594 1521750542.2299
MEM 89.308594 1521750542.3336
MEM 89.308594 1521750542.4370
MEM 89.308594 1521750542.5417
MEM 89.308594 1521750542.6440
MEM 89.308594 1521750542.7495
MEM 89.308594 1521750542.8549
MEM 89.308594 1521750542.9555
MEM 89.308594 1521750543.0561
MEM 89.308594 1521750543.1572
MEM 89.308594 1521750543.2577
MEM 89.308594 1521750543.3584
MEM 89.308594 1521750543.4611
MEM 89.308594 1521750543.5646
MEM 89.308594 1521750543.6650
MEM 89.308594 1521750543.7703
MEM 89.308594 1521750543.8724
MEM 89.308594 1521750543.9749
MEM 89.308594 1521750544.0753
MEM 89.308594 1521750544.1774
MEM 89.308594 1521750544.2819
MEM 89.308594 1521750544.3847
MEM 89.308594 1521750544.4860
MEM 89.308594 1521750544.5903
