CMDLINE /home/r0b00sj/.conda/envs/capstone/bin/python fit_gensim_lda.py
MEM 87.500000 1522615622.0674
MEM 87.500000 1522615622.1677
MEM 87.500000 1522615622.2680
MEM 87.500000 1522615622.3682
MEM 87.500000 1522615622.4685
MEM 87.500000 1522615622.5687
MEM 87.500000 1522615622.6690
MEM 87.500000 1522615622.7692
MEM 87.500000 1522615622.8694
MEM 87.500000 1522615622.9697
MEM 87.500000 1522615623.0699
MEM 87.500000 1522615623.1702
MEM 87.500000 1522615623.2704
MEM 87.500000 1522615623.3707
MEM 87.500000 1522615623.4709
MEM 87.500000 1522615623.5712
MEM 87.500000 1522615623.6714
MEM 87.500000 1522615623.7717
MEM 87.500000 1522615623.8719
MEM 87.500000 1522615623.9722
MEM 87.500000 1522615624.0724
MEM 87.500000 1522615624.1726
MEM 87.500000 1522615624.2729
MEM 87.500000 1522615624.3731
MEM 87.500000 1522615624.4734
MEM 87.500000 1522615624.5736
MEM 87.500000 1522615624.6739
MEM 87.500000 1522615624.7742
MEM 87.500000 1522615624.8744
MEM 87.500000 1522615624.9747
MEM 87.500000 1522615625.0749
MEM 87.500000 1522615625.1751
MEM 87.500000 1522615625.2754
MEM 87.500000 1522615625.3756
MEM 87.500000 1522615625.4759
MEM 87.500000 1522615625.5761
MEM 87.500000 1522615625.6764
MEM 87.500000 1522615625.7766
MEM 87.500000 1522615625.8769
MEM 87.500000 1522615625.9771
MEM 87.500000 1522615626.0774
MEM 87.500000 1522615626.1776
MEM 87.500000 1522615626.2778
MEM 87.500000 1522615626.3781
MEM 87.500000 1522615626.4784
MEM 87.500000 1522615626.5786
MEM 87.500000 1522615626.6788
MEM 87.500000 1522615626.7791
MEM 87.500000 1522615626.8793
MEM 87.500000 1522615626.9796
MEM 87.500000 1522615627.0798
MEM 87.500000 1522615627.1801
MEM 87.500000 1522615627.2803
MEM 87.500000 1522615627.3806
MEM 87.500000 1522615627.4808
MEM 87.500000 1522615627.5811
MEM 87.500000 1522615627.6813
MEM 87.500000 1522615627.7816
MEM 87.500000 1522615627.8818
MEM 87.500000 1522615627.9821
MEM 87.500000 1522615628.0823
MEM 87.500000 1522615628.1826
MEM 87.500000 1522615628.2828
MEM 87.500000 1522615628.3831
MEM 87.500000 1522615628.4833
MEM 87.500000 1522615628.5836
MEM 87.500000 1522615628.6838
MEM 87.500000 1522615628.7840
MEM 87.500000 1522615628.8843
MEM 87.500000 1522615628.9845
MEM 87.500000 1522615629.0848
MEM 87.500000 1522615629.1850
MEM 87.500000 1522615629.2853
MEM 87.500000 1522615629.3855
MEM 87.500000 1522615629.4858
MEM 87.500000 1522615629.5860
MEM 87.500000 1522615629.6862
MEM 87.500000 1522615629.7865
MEM 87.500000 1522615629.8867
MEM 87.500000 1522615629.9870
MEM 87.500000 1522615630.0872
MEM 87.500000 1522615630.1875
MEM 87.500000 1522615630.2877
MEM 87.500000 1522615630.3880
MEM 87.500000 1522615630.4882
MEM 87.500000 1522615630.5885
MEM 87.500000 1522615630.6887
MEM 87.500000 1522615630.7889
MEM 87.500000 1522615630.8892
